variable,mean_real,mean_syn,std_real,std_syn,skew_real,skew_syn,kurt_real,kurt_syn
tloans,1726225.196761143,1093115.6886899485,2056645.9471759102,1439901.8223472913,0.8766193425221579,1.5337063234826818,-0.9943920388546084,1.5424792385235033
tmort,337635.0322571428,254290.41242655233,295580.54768556874,274296.048680477,0.16767433414281008,1.3519695663389266,-1.6759467839112938,1.180599093426566
lev,4.946779182979038,5.953702890664704,0.7579886484649446,3.257939969412089,0.5656564523251739,0.3525253380491687,-1.4444494873358102,0.5003214538778802
ltd,116.2157451084682,113.6026484800359,43.18700804012876,32.18887566949683,0.9640856295920465,0.06500798960637907,-0.2728848326119264,-0.7727747566341119
noncore,40.19815036228725,43.93668232328846,18.50400466112006,19.446166404079612,0.45721024612077305,0.4117816432259582,-1.084076213692239,-0.6312152563455293
hpnom,69.99606399350573,72.26480870798832,38.694453749867215,41.50877539706414,-0.8036731885137289,-0.1540072823616116,-1.1512274485202616,-1.2053563878709086
housing_capgain,0.07795904842870575,0.08095351436374332,0.10844352766876374,0.10751060892751395,-0.6346150125843065,0.13069544092326124,-0.2190690886499782,-0.15890932499058197
eq_capgain,0.0782142976032836,0.09306622844133111,0.25266401526077753,0.24683560208795519,0.8009192845193779,0.5368514582254335,-0.6372614715616693,-0.29941369147509267
stir,9.590261904761906,9.570214724061325,2.716601878948686,3.510680140558591,0.20340581633891017,0.3619754177768478,-1.4036178316551424,-0.43472299211756305
ltrate,8.65569527340657,8.95986060154423,2.621773597590074,2.988367548328473,-0.16136774524666633,0.17730304838230324,-1.439723101825827,-0.8815695837906459
bill_rate,0.08928118965455464,0.08829378943061698,0.024502451123123655,0.030914936336702812,0.9461717563207744,0.3368704094003305,-0.07498260599974893,-0.28496327350458506
gdp,2256675.2371336115,1306715.1237028118,2820354.8925251774,1963735.2311410632,0.927653853670019,1.4004156869548376,-0.980309849736416,1.075934525705053
iy,0.24253379614858958,0.2408511028279514,0.03169887625143408,0.04006871273878007,0.11877103164531817,-0.20799076742773961,-1.1095332677695313,0.45273084778396555
ca,-82262.92421662628,-49123.26778523758,119048.63219725157,82155.8144819013,-1.0483189380537972,-1.6309638169894076,-0.71052586109806,1.552875216455309
cpi,70.31892906147708,66.93114431787257,32.60692079236914,40.02871767064813,-0.9161699464805272,-0.34981190802930656,-1.1075874904957483,-1.1082890936574428
debtgdp,0.30453821960752175,0.36992034644606275,0.1631515281359534,0.19188641257189515,-0.07806824023142589,0.20259285423520024,-1.8173833650160005,0.10654206036882918
money,1825237.8514044958,1127728.7740895378,2532893.560871707,1660523.2278199296,0.9775594748655035,1.513737116583808,-0.9529490758613806,1.2163488254746566
bond_rate,0.08655695297888347,0.09271520974236516,0.026217735934445485,0.028713354090087545,-0.1613676492619656,0.07814769015745425,-1.4397231480279333,-0.8959953241034628
housing_tr,0.13333907297679357,0.13750147521499906,0.11152205844527753,0.09061751990205046,-0.6831796508284163,0.427294457133052,-0.1731687950330314,-0.24274828826284311
eq_tr,0.10499599163553544,0.1226260671146618,0.2562255671337668,0.2598694803425796,0.7459241494829175,0.6129345638427512,-0.7093696574378203,-0.22908212153469565
tloans_gap,174807.83357188274,125747.40439861281,173795.50634486735,194629.81605089598,1.0225506141424197,1.5269184516749,0.06516940289628748,1.8727329151828869
hpnom_gap,10.619990432589388,12.283137942771354,12.818395745820954,14.184869921899434,1.063820643694313,0.8598952985342132,-0.12982108483455201,-0.5135426105529937
term_spread,-0.9345666313553372,-0.7511956565239069,1.8536474593154282,1.8598179075440346,-0.33106192045717586,-0.5279265257512671,-0.7018386417917468,0.15568342363654297
tloans_growth,0.15674732260782168,0.15262678504687358,0.06353821354502498,0.08150798580950716,-0.1611152609854734,0.32924157637163326,-1.7445299687531992,-0.162110919954904
