country,auroc,delta,n_pos
Ireland,0.7902544609861684,-0.01570873491413438,42
Netherlands,0.7970647238939922,-0.008898472006310554,42
Denmark,0.7971703093654313,-0.008792886534871425,42
Italy,0.8001794953014465,-0.005783700598856245,42
UK,0.8003906662443248,-0.005572529655977987,42
Canada,0.8013392857142856,-0.004623910186017155,45
USA,0.8029775102945835,-0.0029856856057192127,42
France,0.80339985218034,-0.0025633437199626963,42
Sweden,0.8040146773149148,-0.001948518585387915,41
Australia,0.8045138888888889,-0.0014493070114138806,45
Finland,0.8052743470338125,-0.0006888488664902326,44
(Muestra completa),0.8059631959003027,0.0,45
Belgium,0.8066730017949529,0.0007098058946501951,42
Portugal,0.8070953436807096,0.0011321477804068225,42
Norway,0.8098299250860498,0.003866729185747042,44
Spain,0.8125329954598247,0.006569799559521972,42
Switzerland,0.81554218139584,0.009578985495537262,42
Japan,0.8249392883539225,0.018976092453619753,42
Germany,0.8254144229753986,0.019451227075095834,42
